Date,Station,Total trips
1/18/2023,Peachtree Center,5922
1/18/2023,Sandy Springs,978
1/18/2023,Vine City,736
1/18/2023,West End,3460
1/18/2023,West Lake,1002
1/19/2023,Airport,5917
1/19/2023,Arts Center,4370
1/19/2023,Ashby,933
1/19/2023,Avondale,1755
1/19/2023,Bankhead,853
1/19/2023,Brookhaven,1638
1/19/2023,Buckhead,1900
1/19/2023,Chamblee,2238
1/19/2023,Civic Center,1829
1/19/2023,College Park,4360
1/19/2023,Decatur,1833
1/19/2023,Dome/GWCC,978
1/19/2023,Doraville,3913
1/19/2023,Dunwoody,1774
1/19/2023,East Lake,541
1/19/2023,East Point,4048
1/19/2023,Edgewood/Candler Park,789
1/19/2023,Five Points,7297
1/19/2023,Garnett,1302
1/19/2023,Georgia State,3236
1/19/2023,H. E. Holmes,3214
1/19/2023,Indian Creek,2374
1/19/2023,Inman Park,1150
1/19/2023,Kensington,2966
1/19/2023,King Memorial,1159
1/19/2023,Lakewood/Ft McPherson,1581
1/19/2023,Lenox,1294
1/19/2023,Lindbergh Center,5330
1/19/2023,Medical Center,726
1/19/2023,Midtown,3894
1/19/2023,North Avenue,3548
1/19/2023,North Springs,2806
1/19/2023,Oakland City,2462
1/19/2023,Peachtree Center,5966
1/19/2023,Sandy Springs,1074
1/19/2023,Vine City,581
1/19/2023,West End,3642
1/19/2023,West Lake,608
1/20/2023,Airport,6183
1/20/2023,Arts Center,4060
1/20/2023,Ashby,1404
1/20/2023,Avondale,1467
1/20/2023,Bankhead,748
1/20/2023,Brookhaven,1504
1/20/2023,Buckhead,1668
1/20/2023,Chamblee,2039
1/20/2023,Civic Center,1560
1/20/2023,College Park,4541
1/20/2023,Decatur,1907
1/20/2023,Dome/GWCC,2194
1/20/2023,Doraville,3679
1/20/2023,Dunwoody,1855
1/20/2023,East Lake,605
1/20/2023,East Point,3731
1/20/2023,Edgewood/Candler Park,834
1/20/2023,Five Points,6721
1/20/2023,Garnett,1211
1/20/2023,Georgia State,2617
1/20/2023,H. E. Holmes,3255
1/20/2023,Indian Creek,2424
1/20/2023,Inman Park,1274
1/20/2023,Kensington,2868
1/20/2023,King Memorial,1136
1/20/2023,Lakewood/Ft McPherson,1591
1/20/2023,Lenox,1467
1/20/2023,Lindbergh Center,5160
1/20/2023,Medical Center,661
1/20/2023,Midtown,3681
1/20/2023,North Avenue,3508
1/20/2023,North Springs,2328
1/20/2023,Oakland City,2562
1/20/2023,Peachtree Center,4677
1/20/2023,Sandy Springs,854
1/20/2023,Vine City,603
1/20/2023,West End,3507
1/20/2023,West Lake,797
1/21/2023,Airport,4328
1/21/2023,Arts Center,2468
1/21/2023,Ashby,704
1/21/2023,Avondale,948
1/21/2023,Bankhead,357
1/21/2023,Brookhaven,935
1/21/2023,Buckhead,844
1/21/2023,Chamblee,1265
1/21/2023,Civic Center,1015
1/21/2023,College Park,3771
1/21/2023,Decatur,1060
1/21/2023,Dome/GWCC,1691
1/21/2023,Doraville,2252
1/21/2023,Dunwoody,919
1/21/2023,East Lake,400
1/21/2023,East Point,2336
1/21/2023,Edgewood/Candler Park,381
1/21/2023,Five Points,3763
1/21/2023,Garnett,930
1/21/2023,Georgia State,872
1/21/2023,H. E. Holmes,2220
1/21/2023,Indian Creek,1283
1/21/2023,Inman Park,849
1/21/2023,Kensington,1698
1/21/2023,King Memorial,777
1/21/2023,Lakewood/Ft McPherson,911
1/21/2023,Lenox,1420
1/21/2023,Lindbergh Center,3347
1/21/2023,Medical Center,232
1/21/2023,Midtown,2381
1/21/2023,North Avenue,2054
1/21/2023,North Springs,1158
1/21/2023,Oakland City,1212
1/21/2023,Peachtree Center,1954
1/21/2023,Sandy Springs,390
1/21/2023,Vine City,434
1/21/2023,West End,2669
1/21/2023,West Lake,563
1/22/2023,Airport,4903
1/22/2023,Arts Center,1733
1/22/2023,Ashby,511
1/22/2023,Avondale,617
1/22/2023,Bankhead,291
1/22/2023,Brookhaven,631
1/22/2023,Buckhead,698
1/22/2023,Chamblee,828
1/22/2023,Civic Center,675
1/22/2023,College Park,2949
1/22/2023,Decatur,683
1/22/2023,Dome/GWCC,633
1/22/2023,Doraville,1440
1/22/2023,Dunwoody,832
1/22/2023,East Lake,188
1/22/2023,East Point,1540
1/22/2023,Edgewood/Candler Park,181
1/22/2023,Five Points,2398
1/22/2023,Garnett,706
1/22/2023,Georgia State,601
1/22/2023,H. E. Holmes,1369
1/22/2023,Indian Creek,926
1/22/2023,Inman Park,524
1/22/2023,Kensington,1206
1/22/2023,King Memorial,438
1/22/2023,Lakewood/Ft McPherson,645
1/22/2023,Lenox,918
1/22/2023,Lindbergh Center,2422
1/22/2023,Medical Center,186
1/22/2023,Midtown,1597
1/22/2023,North Avenue,1529
1/22/2023,North Springs,825
1/22/2023,Oakland City,1009
1/22/2023,Peachtree Center,1834
1/22/2023,Sandy Springs,255
1/22/2023,Vine City,209
1/22/2023,West End,1572
1/22/2023,West Lake,279
1/23/2023,Airport,7186
1/23/2023,Arts Center,3901
1/23/2023,Ashby,1439
1/23/2023,Avondale,1571
1/23/2023,Bankhead,734
1/23/2023,Brookhaven,1290
1/23/2023,Buckhead,1697
1/23/2023,Chamblee,2140
1/23/2023,Civic Center,1578
1/23/2023,College Park,4608
1/23/2023,Decatur,1600
1/23/2023,Dome/GWCC,631
1/23/2023,Doraville,3639
1/23/2023,Dunwoody,1883
1/23/2023,East Lake,601
1/23/2023,East Point,4487
1/23/2023,Edgewood/Candler Park,543
1/23/2023,Five Points,7149
1/23/2023,Garnett,1385
1/23/2023,Georgia State,3262
1/23/2023,H. E. Holmes,3175
1/23/2023,Indian Creek,2331
1/23/2023,Inman Park,1079
1/23/2023,Kensington,2802
1/23/2023,King Memorial,988
1/23/2023,Lakewood/Ft McPherson,1517
1/23/2023,Lenox,1420
1/23/2023,Lindbergh Center,5021
1/23/2023,Medical Center,802
1/23/2023,Midtown,3218
1/23/2023,North Avenue,3336
1/23/2023,North Springs,2432
1/23/2023,Oakland City,2080
1/23/2023,Peachtree Center,5331
1/23/2023,Sandy Springs,820
1/23/2023,Vine City,542
1/23/2023,West End,3549
1/23/2023,West Lake,932
1/24/2023,Airport,6063
1/24/2023,Arts Center,4149
1/24/2023,Ashby,988
1/24/2023,Avondale,1732
